"Count","Percent","Word"
"4828","05.15%","ham"
"2379","02.54%","i"
"2253","02.40%","to"
"2155","02.30%","you"
"1447","01.54%","a"
"1338","01.43%","the"
"1174","01.25%","u"
"0980","01.05%","and"
"0896","00.96%","is"
"0893","00.95%","in"
"0807","00.86%","me"
"0765","00.82%","my"
"0748","00.80%","spam"
"0711","00.76%","for"
"0680","00.73%","your"
"0651","00.69%","it"
"0622","00.66%","of"
"0585","00.62%","call"
"0577","00.62%","have"
"0537","00.57%","on"
"0527","00.56%","2"
"0527","00.56%","that"
"0499","00.53%","now"
"0495","00.53%","are"
"0461","00.49%","so"
"0448","00.48%","but"
"0445","00.47%","not"
"0423","00.45%","or"
"0410","00.44%","do"
"0409","00.44%","can"
"0406","00.43%","at"
"0394","00.42%","i'm"
"0391","00.42%","ur"
"0390","00.42%","will"
"0389","00.41%","get"
"0389","00.41%","if"
"0388","00.41%","be"
"0383","00.41%","with"
"0376","00.40%","just"
"0361","00.38%","no"
"0357","00.38%","we"
"0343","00.37%","this"
"0318","00.34%","gt"
"0317","00.34%","4"
"0316","00.34%","lt"
"0309","00.33%","up"
"0296","00.32%","when"
"0293","00.31%","ok"
"0284","00.30%","from"
"0283","00.30%","go"
"0282","00.30%","how"
"0279","00.30%","free"
"0274","00.29%","all"
"0270","00.29%","what"
"0267","00.28%","out"
"0262","00.28%","know"
"0247","00.26%","good"
"0247","00.26%","like"
"0243","00.26%","then"
"0240","00.26%","got"
"0232","00.25%","come"
"0231","00.25%","was"
"0228","00.24%","its"
"0226","00.24%","am"
"0220","00.23%","day"
"0220","00.23%","time"
"0219","00.23%","only"
"0214","00.23%","love"
"0202","00.22%","there"
"0196","00.21%","he"
"0196","00.21%","send"
"0195","00.21%","want"
"0191","00.20%","text"
"0182","00.19%","as"
"0175","00.19%","one"
"0175","00.19%","txt"
"0174","00.19%","by"
"0173","00.18%","going"
"0169","00.18%","need"
"0168","00.18%","i'll"
"0167","00.18%","1"
"0167","00.18%","home"
"0166","00.18%","about"
"0162","00.17%","lor"
"0162","00.17%","r"
"0159","00.17%","sorry"
"0158","00.17%","see"
"0158","00.17%","still"
"0158","00.17%","stop"
"0154","00.16%","n"
"0153","00.16%","back"
"0150","00.16%","da"
"0150","00.16%","today"
"0149","00.16%","our"
"0148","00.16%","dont"
"0148","00.16%","reply"
"0147","00.16%","k"
"0144","00.15%","she"
"0141","00.15%","don't"
"0140","00.15%","hi"
"0140","00.15%","take"
"0138","00.15%","mobile"
"0137","00.15%","tell"
"0136","00.15%","new"
"0135","00.14%","later"
"0135","00.14%","please"
"0134","00.14%","any"
"0134","00.14%","her"
"0134","00.14%","pls"
"0132","00.14%","think"
"0131","00.14%","been"
"0128","00.14%","they"
"0125","00.13%","phone"
"0122","00.13%","did"
"0122","00.13%","here"
"0121","00.13%","dear"
"0120","00.13%","some"
"0120","00.13%","week"
"0120","00.13%","well"
"0118","00.13%","d"
"0118","00.13%","has"
"0118","00.13%","night"
"0116","00.12%","much"
"0115","00.12%","great"
"0115","00.12%","oh"
"0114","00.12%","an"
"0114","00.12%","who"
"0113","00.12%","claim"
"0113","00.12%","hope"
"0112","00.12%","hey"
"0111","00.12%","him"
"0111","00.12%","msg"
"0111","00.12%","where"
"0109","00.12%","more"
"0109","00.12%","too"
"0108","00.12%","happy"
"0105","00.11%","had"
"0103","00.11%","3"
"0103","00.11%","give"
"0103","00.11%","t"
"0102","00.11%","make"
"0102","00.11%","way"
"0101","00.11%","work"
"0100","00.11%","www"
"0099","00.11%","c"
"0099","00.11%","wat"
"0098","00.10%","it's"
"0097","00.10%","should"
"0097","00.10%","yes"
"0096","00.10%","number"
"0095","00.10%","message"
"0093","00.10%","prize"
"0093","00.10%","say"
"0093","00.10%","tomorrow"
"0092","00.10%","right"
"0091","00.10%","already"
"0090","00.10%","after"
"0089","00.09%","ask"
"0089","00.09%","e"
"0089","00.09%","said"
"0088","00.09%","amp"
"0088","00.09%","doing"
"0087","00.09%","yeah"
"0086","00.09%","im"
"0086","00.09%","really"
"0084","00.09%","life"
"0084","00.09%","why"
"0083","00.09%","meet"
"0083","00.09%","s"
"0083","00.09%","them"
"0080","00.09%","miss"
"0080","00.09%","very"
"0079","00.08%","babe"
"0078","00.08%","last"
"0078","00.08%","morning"
"0077","00.08%","thanks"
"0076","00.08%","cos"
"0076","00.08%","would"
"0075","00.08%","anything"
"0074","00.08%","b"
"0074","00.08%","cash"
"0074","00.08%","lol"
"0074","00.08%","win"
"0073","00.08%","also"
"0073","00.08%","care"
"0073","00.08%","find"
"0073","00.08%","let"
"0073","00.08%","won"
"0072","00.08%","every"
"0071","00.08%","150p"
"0071","00.08%","com"
"0071","00.08%","pick"
"0071","00.08%","sure"
"0070","00.07%","sent"
"0070","00.07%","urgent"
"0069","00.07%","keep"
"0069","00.07%","nokia"
"0068","00.07%","contact"
"0068","00.07%","over"
"0068","00.07%","something"
"0067","00.07%","again"
"0067","00.07%","gud"
"0067","00.07%","min"
"0067","00.07%","uk"
"0067","00.07%","us"
"0066","00.07%","before"
"0066","00.07%","cant"
"0066","00.07%","wait"
"0065","00.07%","buy"
"0065","00.07%","first"
"0065","00.07%","i've"
"0064","00.07%","5"
"0064","00.07%","even"
"0064","00.07%","his"
"0062","00.07%","50"
"0062","00.07%","feel"
"0062","00.07%","next"
"0062","00.07%","nice"
"0062","00.07%","someone"
"0062","00.07%","thing"
"0062","00.07%","went"
"0062","00.07%","were"
"0061","00.07%","around"
"0061","00.07%","can't"
"0061","00.07%","off"
"0061","00.07%","soon"
"0061","00.07%","which"
"0060","00.06%","could"
"0060","00.06%","money"
"0060","00.06%","place"
"0060","00.06%","service"
"0060","00.06%","tonight"
"0059","00.06%","late"
"0059","00.06%","many"
"0059","00.06%","tone"
"0058","00.06%","always"
"0058","00.06%","customer"
"0058","00.06%","gonna"
"0058","00.06%","help"
"0058","00.06%","per"
"0058","00.06%","sleep"
"0058","00.06%","ya"
"0057","00.06%","chat"
"0057","00.06%","leave"
"0056","00.06%","co"
"0056","00.06%","down"
"0056","00.06%","that's"
"0055","00.06%","dun"
"0055","00.06%","friends"
"0055","00.06%","other"
"0055","00.06%","wan"
"0055","00.06%","x"
"0054","00.06%","16"
"0054","00.06%","sms"
"0054","00.06%","things"
"0054","00.06%","told"
"0054","00.06%","v"
"0054","00.06%","wish"
"0053","00.06%","waiting"
"0052","00.06%","hello"
"0052","00.06%","may"
"0052","00.06%","try"
"0051","00.05%","18"
"0051","00.05%","coming"
"0051","00.05%","fine"
"0051","00.05%","haha"
"0051","00.05%","you're"
"0050","00.05%","done"
"0050","00.05%","getting"
"0050","00.05%","guaranteed"
"0050","00.05%","name"
"0050","00.05%","people"
"0050","00.05%","same"
"0050","00.05%","thk"
"0050","00.05%","year"
"0050","00.05%","yet"
"0049","00.05%","heart"
"0049","00.05%","use"
"0048","00.05%","best"
"0048","00.05%","mins"
"0047","00.05%","friend"
"0047","00.05%","holiday"
"0047","00.05%","thought"
"0046","00.05%","6"
"0046","00.05%","live"
"0046","00.05%","lunch"
"0045","00.05%","7"
"0045","00.05%","bit"
"0045","00.05%","class"
"0045","00.05%","man"
"0045","00.05%","person"
"0045","00.05%","smile"
"0045","00.05%","special"
"0045","00.05%","talk"
"0044","00.05%","500"
"0044","00.05%","being"
"0044","00.05%","cs"
"0044","00.05%","days"
"0044","00.05%","didn't"
"0044","00.05%","draw"
"0044","00.05%","few"
"0044","00.05%","never"
"0044","00.05%","stuff"
"0044","00.05%","y"
"0043","00.05%","better"
"0043","00.05%","ill"
"0043","00.05%","job"
"0043","00.05%","ll"
"0043","00.05%","meeting"
"0043","00.05%","thats"
"0043","00.05%","trying"
"0043","00.05%","yup"
"0042","00.04%","cool"
"0042","00.04%","finish"
"0042","00.04%","having"
"0042","00.04%","line"
"0042","00.04%","long"
"0042","00.04%","mind"
"0042","00.04%","ready"
"0041","00.04%","10"
"0041","00.04%","car"
"0041","00.04%","end"
"0040","00.04%","100"
"0040","00.04%","cost"
"0040","00.04%","enjoy"
"0040","00.04%","god"
"0040","00.04%","m"
"0040","00.04%","wk"
"0039","00.04%","1000"
"0039","00.04%","account"
"0039","00.04%","because"
"0039","00.04%","chance"
"0039","00.04%","check"
"0039","00.04%","dat"
"0039","00.04%","latest"
"0039","00.04%","lot"
"0039","00.04%","play"
"0039","00.04%","than"
"0038","00.04%","1st"
"0038","00.04%","awarded"
"0038","00.04%","box"
"0038","00.04%","camera"
"0038","00.04%","eat"
"0038","00.04%","guess"
"0038","00.04%","half"
"0038","00.04%","lar"
"0038","00.04%","luv"
"0038","00.04%","nothing"
"0038","00.04%","receive"
"0038","00.04%","sir"
"0038","00.04%","start"
"0038","00.04%","wanna"
"0038","00.04%","word"
"0038","00.04%","yo"
"0037","00.04%","another"
"0037","00.04%","big"
"0037","00.04%","guys"
"0037","00.04%","liao"
"0037","00.04%","problem"
"0037","00.04%","world"
"0036","00.04%","ah"
"0036","00.04%","birthday"
"0036","00.04%","dinner"
"0036","00.04%","girl"
"0036","00.04%","house"
"0036","00.04%","into"
"0036","00.04%","real"
"0036","00.04%","shit"
"0036","00.04%","shows"
"0036","00.04%","sweet"
"0035","00.04%","ever"
"0035","00.04%","jus"
"0035","00.04%","might"
"0035","00.04%","month"
"0035","00.04%","po"
"0035","00.04%","xxx"
"0034","00.04%","150ppm"
"0034","00.04%","g"
"0034","00.04%","landline"
"0034","00.04%","offer"
"0034","00.04%","quite"
"0034","00.04%","room"
"0034","00.04%","video"
"0034","00.04%","watching"
"0034","00.04%","wont"
"0033","00.04%","aight"
"0033","00.04%","called"
"0033","00.04%","early"
"0033","00.04%","once"
"0033","00.04%","pa"
"0033","00.04%","probably"
"0033","00.04%","speak"
"0033","00.04%","tv"
"0033","00.04%","two"
"0033","00.04%","watch"
"0032","00.03%","actually"
"0032","00.03%","apply"
"0032","00.03%","bad"
"0032","00.03%","bed"
"0032","00.03%","calls"
"0032","00.03%","den"
"0032","00.03%","does"
"0032","00.03%","forgot"
"0032","00.03%","hear"
"0032","00.03%","left"
"0032","00.03%","maybe"
"0032","00.03%","minutes"
"0032","00.03%","pay"
"0032","00.03%","plan"
"0032","00.03%","princess"
"0032","00.03%","remember"
"0032","00.03%","sat"
"0032","00.03%","shall"
"0032","00.03%","thanx"
"0031","00.03%","9"
"0031","00.03%","baby"
"0031","00.03%","between"
"0031","00.03%","code"
"0031","00.03%","dunno"
"0031","00.03%","easy"
"0031","00.03%","fun"
"0031","00.03%","kiss"
"0031","00.03%","look"
"0031","00.03%","made"
"0031","00.03%","office"
"0031","00.03%","orange"
"0031","00.03%","part"
"0031","00.03%","reach"
"0031","00.03%","shopping"
"0031","00.03%","weekend"
"0030","00.03%","2nd"
"0030","00.03%","anyway"
"0030","00.03%","boy"
"0030","00.03%","didnt"
"0030","00.03%","dis"
"0030","00.03%","everything"
"0030","00.03%","face"
"0030","00.03%","he's"
"0030","00.03%","hour"
"0030","00.03%","leh"
"0030","00.03%","little"
"0030","00.03%","ringtone"
"0029","00.03%","000"
"0029","00.03%","award"
"0029","00.03%","bus"
"0029","00.03%","enough"
"0029","00.03%","how's"
"0029","00.03%","looking"
"0029","00.03%","network"
"0029","00.03%","put"
"0029","00.03%","selected"
"0029","00.03%","thank"
"0029","00.03%","those"
"0029","00.03%","town"
"0029","00.03%","true"
"0029","00.03%","working"
"0028","00.03%","afternoon"
"0028","00.03%","asked"
"0028","00.03%","collect"
"0028","00.03%","dad"
"0028","00.03%","don"
"0028","00.03%","evening"
"0028","00.03%","fuck"
"0028","00.03%","missing"
"0028","00.03%","most"
"0028","00.03%","texts"
"0028","00.03%","there's"
"0028","00.03%","tmr"
"0028","00.03%","while"
"0028","00.03%","wife"
"0028","00.03%","without"
"0027","00.03%","bt"
"0027","00.03%","came"
"0027","00.03%","details"
"0027","00.03%","important"
"0027","00.03%","join"
"0027","00.03%","must"
"0027","00.03%","okay"
"0027","00.03%","pain"
"0027","00.03%","says"
"0027","00.03%","school"
"0027","00.03%","sexy"
"0027","00.03%","since"
"0027","00.03%","though"
"0027","00.03%","until"
"0027","00.03%","wanted"
"0027","00.03%","wif"
"0027","00.03%","xmas"
"0026","00.03%","able"
"0026","00.03%","abt"
"0026","00.03%","bring"
"0026","00.03%","collection"
"0026","00.03%","entry"
"0026","00.03%","goes"
"0026","00.03%","hav"
"0026","00.03%","mail"
"0026","00.03%","means"
"0026","00.03%","til"
"0026","00.03%","tones"
"0026","00.03%","wake"
"0026","00.03%","wot"
"0025","00.03%","2000"
"0025","00.03%","5000"
"0025","00.03%","8"
"0025","00.03%","away"
"0025","00.03%","de"
"0025","00.03%","decimal"
"0025","00.03%","gift"
"0025","00.03%","juz"
"0025","00.03%","missed"
"0025","00.03%","plus"
"0025","00.03%","plz"
"0025","00.03%","price"
"0025","00.03%","show"
"0025","00.03%","times"
"0025","00.03%","wen"
"0025","00.03%","years"
"0024","00.03%","10p"
"0024","00.03%","alright"
"0024","00.03%","attempt"
"0024","00.03%","bored"
"0024","00.03%","else"
"0024","00.03%","guy"
"0024","00.03%","hair"
"0024","00.03%","havent"
"0024","00.03%","messages"
"0024","00.03%","mob"
"0024","00.03%","rate"
"0024","00.03%","saw"
"0024","00.03%","till"
"0024","00.03%","update"
"0024","00.03%","valid"
"0024","00.03%","weekly"
"0024","00.03%","worry"
"0024","00.03%","yesterday"
"0023","00.02%","colour"
"0023","00.02%","dude"
"0023","00.02%","food"
"0023","00.02%","haf"
"0023","00.02%","hurt"
"0023","00.02%","id"
"0023","00.02%","lei"
"0023","00.02%","makes"
"0023","00.02%","making"
"0023","00.02%","music"
"0023","00.02%","online"
"0023","00.02%","oso"
"0023","00.02%","re"
"0023","00.02%","run"
"0023","00.02%","stay"
"0023","00.02%","these"
"0023","00.02%","words"
"0023","00.02%","yours"
"0022","00.02%","800"
"0022","00.02%","address"
"0022","00.02%","answer"
"0022","00.02%","ard"
"0022","00.02%","book"
"0022","00.02%","change"
"0022","00.02%","coz"
"0022","00.02%","delivery"
"0022","00.02%","double"
"0022","00.02%","dreams"
"0022","00.02%","driving"
"0022","00.02%","either"
"0022","00.02%","family"
"0022","00.02%","feeling"
"0022","00.02%","friendship"
"0022","00.02%","goin"
"0022","00.02%","haven't"
"0022","00.02%","hot"
"0022","00.02%","net"
"0022","00.02%","nite"
"0022","00.02%","question"
"0022","00.02%","sch"
"0022","00.02%","test"
"0022","00.02%","top"
"0022","00.02%","tried"
"0022","00.02%","we're"
"0022","00.02%","what's"
"0022","00.02%","won't"
"0022","00.02%","yourself"
"0021","00.02%","8007"
"0021","00.02%","beautiful"
"0021","00.02%","believe"
"0021","00.02%","bonus"
"0021","00.02%","both"
"0021","00.02%","busy"
"0021","00.02%","calling"
"0021","00.02%","comes"
"0021","00.02%","full"
"0021","00.02%","game"
"0021","00.02%","hours"
"0021","00.02%","http"
"0021","00.02%","lose"
"0021","00.02%","movie"
"0021","00.02%","o"
"0021","00.02%","order"
"0021","00.02%","sad"
"0021","00.02%","sae"
"0021","00.02%","shop"
"0021","00.02%","todays"
"0021","00.02%","together"
"0021","00.02%","tot"
"0021","00.02%","trip"
"0021","00.02%","wants"
"0021","00.02%","wid"
"0020","00.02%","await"
"0020","00.02%","brother"
"0020","00.02%","charge"
"0020","00.02%","chikku"
"0020","00.02%","club"
"0020","00.02%","date"
"0020","00.02%","drive"
"0020","00.02%","eve"
"0020","00.02%","games"
"0020","00.02%","happen"
"0020","00.02%","huh"
"0020","00.02%","leaving"
"0020","00.02%","mean"
"0020","00.02%","noe"
"0020","00.02%","old"
"0020","00.02%","points"
"0020","00.02%","ring"
"0020","00.02%","saying"
"0020","00.02%","set"
"0020","00.02%","sleeping"
"0020","00.02%","smiling"
"0020","00.02%","story"
"0020","00.02%","vouchers"
"0020","00.02%","walk"
"0020","00.02%","we'll"
"0019","00.02%","750"
"0019","00.02%","86688"
"0019","00.02%","aft"
"0019","00.02%","awesome"
"0019","00.02%","congrats"
"0019","00.02%","email"
"0019","00.02%","finished"
"0019","00.02%","gr8"
"0019","00.02%","head"
"0019","00.02%","minute"
"0019","00.02%","news"
"0019","00.02%","okie"
"0019","00.02%","pic"
"0019","00.02%","pics"
"0019","00.02%","pm"
"0019","00.02%","poly"
"0019","00.02%","post"
"0019","00.02%","pounds"
"0019","00.02%","private"
"0019","00.02%","rite"
"0019","00.02%","row"
"0019","00.02%","simple"
"0019","00.02%","started"
"0019","00.02%","thinking"
"0019","00.02%","tomo"
"0019","00.02%","took"
"0019","00.02%","wil"
"0018","00.02%","150"
"0018","00.02%","250"
"0018","00.02%","angry"
"0018","00.02%","anyone"
"0018","00.02%","auction"
"0018","00.02%","available"
"0018","00.02%","c's"
"0018","00.02%","cause"
"0018","00.02%","close"
"0018","00.02%","drink"
"0018","00.02%","drop"
"0018","00.02%","everyone"
"0018","00.02%","final"
"0018","00.02%","forget"
"0018","00.02%","gd"
"0018","00.02%","land"
"0018","00.02%","lets"
"0018","00.02%","neva"
"0018","00.02%","pub"
"0018","00.02%","second"
"0018","00.02%","services"
"0018","00.02%","she's"
"0018","00.02%","smoke"
"0018","00.02%","taking"
"0018","00.02%","tho"
"0018","00.02%","unsubscribe"
"0018","00.02%","xx"
"0017","00.02%","11"
"0017","00.02%","12hrs"
"0017","00.02%","alone"
"0017","00.02%","break"
"0017","00.02%","card"
"0017","00.02%","choose"
"0017","00.02%","company"
"0017","00.02%","dating"
"0017","00.02%","each"
"0017","00.02%","expires"
"0017","00.02%","found"
"0017","00.02%","knw"
"0017","00.02%","lesson"
"0017","00.02%","lots"
"0017","00.02%","lucky"
"0017","00.02%","mine"
"0017","00.02%","msgs"
"0017","00.02%","open"
"0017","00.02%","parents"
"0017","00.02%","search"
"0017","00.02%","sis"
"0017","00.02%","sister"
"0017","00.02%","sounds"
"0017","00.02%","statement"
"0017","00.02%","touch"
"0017","00.02%","voucher"
"0017","00.02%","w"
"0017","00.02%","whatever"
"0017","00.02%","whats"
"0017","00.02%","worth"
"0016","00.02%","08000930705"
"0016","00.02%","anytime"
"0016","00.02%","bout"
"0016","00.02%","boytoy"
"0016","00.02%","carlos"
"0016","00.02%","college"
"0016","00.02%","decided"
"0016","00.02%","far"
"0016","00.02%","fast"
"0016","00.02%","frnd"
"0016","00.02%","girls"
"0016","00.02%","gone"
"0016","00.02%","ha"
"0016","00.02%","happened"
"0016","00.02%","hard"
"0016","00.02%","hows"
"0016","00.02%","identifier"
"0016","00.02%","info"
"0016","00.02%","kind"
"0016","00.02%","loving"
"0016","00.02%","ltd"
"0016","00.02%","mobileupd8"
"0016","00.02%","mum"
"0016","00.02%","needs"
"0016","00.02%","ni8"
"0016","00.02%","nt"
"0016","00.02%","pobox"
"0016","00.02%","prob"
"0016","00.02%","saturday"
"0016","00.02%","smth"
"0016","00.02%","sun"
"0016","00.02%","takes"
"0016","00.02%","treat"
"0016","00.02%","type"
"0016","00.02%","visit"
"0016","00.02%","winner"
"0016","00.02%","wonderful"
"0015","00.02%","08000839402"
"0015","00.02%","2lands"
"0015","00.02%","30"
"0015","00.02%","350"
"0015","00.02%","camcorder"
"0015","00.02%","chennai"
"0015","00.02%","congratulations"
"0015","00.02%","content"
"0015","00.02%","crazy"
"0015","00.02%","darlin"
"0015","00.02%","doesn't"
"0015","00.02%","finally"
"0015","00.02%","fri"
"0015","00.02%","friday"
"0015","00.02%","fucking"
"0015","00.02%","goodmorning"
"0015","00.02%","hand"
"0015","00.02%","hit"
"0015","00.02%","hold"
"0015","00.02%","light"
"0015","00.02%","lovely"
"0015","00.02%","mates"
"0015","00.02%","mrng"
"0015","00.02%","nope"
"0015","00.02%","nyt"
"0015","00.02%","operator"
"0015","00.02%","oredi"
"0015","00.02%","outside"
"0015","00.02%","player"
"0015","00.02%","pretty"
"0015","00.02%","quiz"
"0015","00.02%","read"
"0015","00.02%","sea"
"0015","00.02%","secret"
"0015","00.02%","suite342"
"0015","00.02%","tel"
"0015","00.02%","used"
"0015","00.02%","weeks"
"0015","00.02%","wit"
"0015","00.02%","wrong"
"0014","00.01%","b4"
"0014","00.01%","bank"
"0014","00.01%","case"
"0014","00.01%","course"
"0014","00.01%","credit"
"0014","00.01%","cum"
"0014","00.01%","f"
"0014","00.01%","fancy"
"0014","00.01%","fone"
"0014","00.01%","freemsg"
"0014","00.01%","frm"
"0014","00.01%","frnds"
"0014","00.01%","hmm"
"0014","00.01%","hungry"
"0014","00.01%","least"
"0014","00.01%","listen"
"0014","00.01%","log"
"0014","00.01%","mate"
"0014","00.01%","meant"
"0014","00.01%","mu"
"0014","00.01%","offers"
"0014","00.01%","party"
"0014","00.01%","project"
"0014","00.01%","reason"
"0014","00.01%","seeing"
"0014","00.01%","snow"
"0014","00.01%","telling"
"0014","00.01%","ten"
"0014","00.01%","their"
"0014","00.01%","thinks"
"0014","00.01%","unlimited"
"0014","00.01%","welcome"
"0014","00.01%","whole"
"0014","00.01%","wkly"
"0014","00.01%","you'll"
"0014","00.01%","you've"
"0014","00.01%","yr"
"0013","00.01%","03"
"0013","00.01%","0800"
"0013","00.01%","2003"
"0013","00.01%","87066"
"0013","00.01%","age"
"0013","00.01%","ago"
"0013","00.01%","almost"
"0013","00.01%","area"
"0013","00.01%","ass"
"0013","00.01%","blue"
"0013","00.01%","bslvyl"
"0013","00.01%","caller"
"0013","00.01%","christmas"
"0013","00.01%","couple"
"0013","00.01%","currently"
"0013","00.01%","cut"
"0013","00.01%","dnt"
"0013","00.01%","download"
"0013","00.01%","earlier"
"0013","00.01%","enter"
"0013","00.01%","etc"
"0013","00.01%","father"
"0013","00.01%","felt"
"0013","00.01%","fr"
"0013","00.01%","gas"
"0013","00.01%","gn"
"0013","00.01%","happiness"
"0013","00.01%","hee"
"0013","00.01%","hmmm"
"0013","00.01%","india"
"0013","00.01%","invited"
"0013","00.01%","john"
"0013","00.01%","knew"
"0013","00.01%","lost"
"0013","00.01%","luck"
"0013","00.01%","mah"
"0013","00.01%","march"
"0013","00.01%","mayb"
"0013","00.01%","motorola"
"0013","00.01%","mr"
"0013","00.01%","numbers"
"0013","00.01%","opt"
"0013","00.01%","p"
"0013","00.01%","park"
"0013","00.01%","phones"
"0013","00.01%","point"
"0013","00.01%","press"
"0013","00.01%","reading"
"0013","00.01%","savamob"
"0013","00.01%","sex"
"0013","00.01%","side"
"0013","00.01%","stupid"
"0013","00.01%","support"
"0013","00.01%","talking"
"0013","00.01%","tired"
"0013","00.01%","txts"
"0013","00.01%","understand"
"0013","00.01%","valued"
"0013","00.01%","within"
"0013","00.01%","yar"
"0012","00.01%","04"
"0012","00.01%","12"
"0012","00.01%","20"
"0012","00.01%","200"
"0012","00.01%","ac"
"0012","00.01%","ans"
"0012","00.01%","askd"
"0012","00.01%","bcoz"
"0012","00.01%","call2optout"
"0012","00.01%","charged"
"0012","00.01%","comp"
"0012","00.01%","complimentary"
"0012","00.01%","computer"
"0012","00.01%","confirm"
"0012","00.01%","correct"
"0012","00.01%","darren"
"0012","00.01%","die"
"0012","00.01%","difficult"
"0012","00.01%","direct"
"0012","00.01%","doin"
"0012","00.01%","eh"
"0012","00.01%","ends"
"0012","00.01%","extra"
"0012","00.01%","ge"
"0012","00.01%","gotta"
"0012","00.01%","grins"
"0012","00.01%","gym"
"0012","00.01%","heard"
"0012","00.01%","i'd"
"0012","00.01%","information"
"0012","00.01%","ipod"
"0012","00.01%","laptop"
"0012","00.01%","loads"
"0012","00.01%","mobiles"
"0012","00.01%","mom"
"0012","00.01%","national"
"0012","00.01%","pass"
"0012","00.01%","picking"
"0012","00.01%","questions"
"0012","00.01%","rental"
"0012","00.01%","reveal"
"0012","00.01%","rs"
"0012","00.01%","seen"
"0012","00.01%","semester"
"0012","00.01%","sending"
"0012","00.01%","song"
"0012","00.01%","sound"
"0012","00.01%","st"
"0012","00.01%","supposed"
"0012","00.01%","surprise"
"0012","00.01%","swing"
"0012","00.01%","th"
"0012","00.01%","through"
"0012","00.01%","ugh"
"0012","00.01%","un-redeemed"
