count,word
1447,a
1,a-ffectionate
1,a-green
1,aa
3,aah
1,aaniye
1,aaooooright
6,aathi
1,ab
1,abbey
1,abdomen
1,abeg
1,abel
1,aberdeen
4,abi
2,ability
11,abiola
2,abj
26,able
1,abnormally
166,about
1,aboutas
1,above
1,abroad
1,absence
1,absolutely
2,absolutly
1,abstract
26,abt
3,abta
2,aburo
1,abuse
1,abusers
12,ac
2,academic
5,acc
1,accent
1,accenture
9,accept
9,access
1,accessible
1,accidant
3,accident
4,accidentally
1,accommodation
1,accommodationvouchers
1,accomodate
1,accomodations
1,accordin
3,accordingly
39,account
1,account's
1,accounting
2,accounts
1,accumulation
1,achan
4,ache
1,achieve
1,acid
1,acknowledgement
1,acnt
2,aco
10,across
1,act
2,acted
1,actin
2,acting
4,action
6,activate
2,active
4,activities
2,actor
2,actual
32,actually
5,ad
2,adam
8,add
2,addamsfa
6,added
4,addicted
3,addie
1,adding
22,address
1,adds
1,adewale
1,adi
1,adjustable
2,admin
2,administrator
10,admirer
1,admission
2,admit
3,adore
2,adoring
1,adp
1,adress
1,adrian
1,adrink
2,ads
1,adsense
5,adult
1,adults
7,advance
2,adventure
1,adventuring
5,advice
3,advise
1,advising
1,advisors
2,aeronautics
2,aeroplane
1,afew
2,affair
3,affairs
4,affection
1,affectionate
1,affections
1,affidavit
1,afford
1,afghanistan
4,afraid
1,africa
1,african
19,aft
90,after
1,afternon
28,afternoon
1,afternoons
1,afterwards
6,aftr
2,ag
67,again
9,against
2,agalla
13,age
1,agency
1,agent
1,agents
5,ages
1,agidhane
1,aging
13,ago
2,agree
36,ah
8,aha
7,ahead
1,ahhh
1,ahhhh
6,ahmad
1,ahold
1,aid
1,aids
1,aig
33,aight
4,ain't
5,aint
6,air
5,airport
2,airtel
4,aiya
6,aiyah
4,aiyar
6,aiyo
1,ajith
1,ak
2,aka
1,akon-lonely
9,al
1,alaikkum
2,alaipayuthe
1,albi
2,album
1,album-quite
3,alcohol
1,aldrine
4,alert
1,alertfrom
1,alerts
1,aletter
7,alex
1,alex's
3,alfie
2,algarve
1,algebra
1,algorithms
2,ali
1,alian
1,alibi
3,alive
274,all
1,all's
5,allah
1,allalo
1,allday
1,alle
1,allo
2,allow
2,allowed
1,allows
13,almost
17,alone
4,along
1,alot
91,already
24,alright
7,alrite
73,also
1,alter
1,alternative
2,although
1,alwa
58,always
3,alwys
226,am
1,amanda
6,amazing
1,ambitious
1,ambrith
3,american
1,ami
1,amigos
1,amk
1,amla
1,amma
1,ammae
1,ammo
1,amnow
3,among
2,amongst
1,amore
5,amount
88,amp
1,amplikater
1,amrca
1,amrita
1,ams
5,amt
2,amused
2,amy
114,an
1,ana
1,anal
1,analysis
1,anand
980,and
1,anderson
1,andre
1,andres
1,andrews-boy
2,andros
1,angels
18,angry
1,animal
2,animation
1,anjie
1,anjola's
2,anna
2,annie
2,anniversary
1,annoncement
1,announced
6,announcement
1,annoyin
2,annoying
1,anonymous
2,anot
37,another
12,ans
4,ansr
22,answer
2,answered
1,answerin
4,answering
4,answers
1,answr
1,antelope
1,antha
2,anthony
3,anti
1,antibiotic
134,any
5,anybody
1,anybody's
1,anyhow
8,anymore
18,anyone
1,anyones
1,anyplaces
1,anythiing
3,anythin
75,anything
1,anything's
1,anythingtomorrow
16,anytime
30,anyway
4,anyways
3,anywhere
2,aom
2,apart
